#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.51396     2.51396           0
           2     2.44471     2.47934   0.0244829
           3     2.49615     2.48494   0.0169514
           4     2.49754     2.48809   0.0130028
           5     2.56675     2.50382   0.0174989
           6     2.56359     2.51378    0.017185
           7     2.61736     2.52858   0.0201156
           8     2.52325     2.52791   0.0176121
           9      2.5407     2.52933   0.0157124
          10     2.49323     2.52572   0.0145501
          11      2.4416     2.51808   0.0151039
          12     2.43832     2.51143   0.0152375
          13     2.40829      2.5035    0.015998
          14     2.47642     2.50156   0.0149717
          15     2.45273     2.49831   0.0143232
          16     2.58042     2.50344    0.014318
          17     2.52501     2.50471   0.0135319
          18     2.41691     2.49983   0.0136309
          19     2.46145     2.49781   0.0130623
          20     2.50102     2.49797   0.0124102
