#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     70.3421     70.3421           0
           2     72.6761     71.5091    0.825191
           3     74.0176     72.3453    0.876789
           4     69.8096     71.7114     0.85664
           5     70.4864     71.4664    0.719494
           6     82.7305     73.3437     1.81564
           7     77.8281     73.9843     1.66545
           8     86.3775     75.5335     2.05511
           9     75.3576     75.5139     1.82686
          10     76.2721     75.5898     1.64575
          11     78.1084     75.8187     1.51198
          12     78.3012     76.0256     1.40006
          13     76.4749     76.0602     1.29279
          14     83.7329     76.6082     1.31148
          15      69.798     76.1542     1.30026
          16     83.2719     76.5991     1.29286
          17     81.6507     76.8962     1.25049
          18     74.0282     76.7369     1.19113
          19      78.387     76.8237      1.1316
          20     81.5073     77.0579     1.09898
