#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     18.7419     18.7419           0
           2     20.2205     19.4812    0.522782
           3     18.3193     19.0939    0.470612
           4     19.2317     19.1283    0.354217
           5     19.8232     19.2673    0.309439
           6     19.7338     19.3451    0.267454
           7     19.0469     19.3025    0.232614
           8     18.5399     19.2071    0.222211
           9     20.9986     19.4062    0.272458
          10     19.0505     19.3706    0.247523
          11     18.3103     19.2742    0.243068
          12     17.5018     19.1265      0.2639
          13       19.46     19.1522    0.244844
          14     16.8664     18.9889    0.276485
          15     19.2656     19.0073    0.258667
          16     20.6839     19.1121    0.262869
          17     19.6758     19.1453    0.249488
          18     18.6306     19.1167     0.23726
          19      19.761     19.1506    0.227183
          20     18.7187      19.129    0.216848
