#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.36812     1.36812           0
           2     1.33811     1.35312   0.0106116
           3     1.35248      1.3529  0.00707651
           4     1.30041     1.33978   0.0125431
           5     1.34566     1.34096   0.0100894
           6     1.35959     1.34406  0.00887292
           7     1.34124     1.34366  0.00761451
           8     1.35817     1.34547  0.00687532
           9     1.35765     1.34682   0.0062431
          10     1.33052     1.34519  0.00582791
          11     1.40153     1.35031  0.00720509
          12     1.33822     1.34931  0.00667474
          13     1.34502     1.34898  0.00616943
          14     1.32606     1.34734  0.00594189
          15     1.33273     1.34637    0.005625
          16     1.40022     1.34973  0.00619916
          17     1.38543     1.35183  0.00617991
          18     1.30822     1.34941  0.00629371
          19     1.37326     1.35067  0.00608633
          20        1.34     1.35013  0.00580535
