#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.82855     1.82855           0
           2     1.78461     1.80658   0.0155329
           3     1.79845     1.80387   0.0105889
           4     1.70317      1.7787    0.023205
           5     1.78919     1.78079   0.0186586
           6     1.79229     1.78271   0.0156469
           7     1.79173       1.784   0.0134646
           8     1.77173     1.78247   0.0118685
           9     1.81542     1.78613   0.0111004
          10     1.75171     1.78269   0.0105104
          11     1.75727     1.78038  0.00980563
          12     1.74739     1.77763  0.00936581
          13     1.76521     1.77667  0.00869392
          14     1.72436     1.77294  0.00883959
          15     1.73978     1.77072  0.00852218
          16     1.81332     1.77339  0.00839501
          17     1.81657     1.77593  0.00827661
          18     1.74152     1.77402  0.00803455
          19     1.79473     1.77511  0.00768532
          20     1.81656     1.77718  0.00757535
