#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.06023     4.06023           0
           2     4.06658      4.0634  0.00224577
           3     4.00425     4.04369   0.0161682
           4     3.94929     4.02009   0.0237641
           5     4.02922     4.02191   0.0190814
           6     3.99492     4.01742   0.0164228
           7     4.11631     4.03154   0.0192155
           8     3.97916     4.02499   0.0178946
           9     4.06291     4.02921   0.0163946
          10     3.60441     3.98673   0.0429164
          11     3.98517     3.98659   0.0390151
          12     3.81701     3.97245   0.0382376
          13     3.92789     3.96903   0.0354495
          14     3.91742     3.96534   0.0331085
          15     3.98604     3.96672     0.03093
          16     4.25194     3.98455   0.0337452
          17     3.99354     3.98508   0.0317643
          18      4.0513     3.98875    0.030212
          19     3.90242     3.98421   0.0289616
          20     3.85605      3.9778   0.0282134
