#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.46067     0.46067           0
           2    0.460811    0.460741 4.99256e-05
           3    0.444529    0.455337   0.0044124
           4    0.449032    0.453761  0.00357983
           5    0.451462    0.453301  0.00289322
           6    0.444989    0.451916  0.00272253
           7    0.427517     0.44843  0.00398239
           8    0.426469    0.445685  0.00432856
           9     0.44086    0.445149  0.00388066
          10    0.445366    0.445171  0.00349266
          11    0.446773    0.445316  0.00317818
          12    0.436984    0.444622  0.00298822
          13    0.441256    0.444363  0.00276955
          14    0.421378    0.442721  0.00301939
          15     0.42838    0.441765  0.00296562
          16    0.445389    0.441992   0.0027889
          17    0.421589    0.440791  0.00287149
          18    0.439376    0.440713  0.00271304
          19    0.454068    0.441416  0.00265974
          20    0.445768    0.441633  0.00253564
