#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.36135     0.36135           0
           2    0.361877    0.361613 0.000186123
           3    0.350005    0.357744  0.00316191
           4    0.362973    0.359051  0.00262783
           5    0.355539    0.358349  0.00219414
           6    0.356275    0.358003  0.00185548
           7    0.358711    0.358104  0.00159316
           8    0.364741    0.358934  0.00159545
           9    0.359447    0.358991  0.00141919
          10    0.360571    0.359149  0.00128604
          11    0.363719    0.359564  0.00123441
          12    0.354475     0.35914  0.00120219
          13    0.348377    0.358312  0.00136536
          14    0.356236    0.358164  0.00127586
          15    0.366197    0.358699  0.00129834
          16    0.349424     0.35812   0.0013404
          17     0.35206    0.357763  0.00130809
          18    0.358712    0.357816  0.00123648
          19    0.359638    0.357912  0.00117511
          20    0.356229    0.357828  0.00111936
