#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.417493    0.417493           0
           2     0.43486    0.426176  0.00614003
           3    0.416854    0.423069  0.00481594
           4    0.417293    0.421625  0.00382229
           5    0.428093    0.422919  0.00326945
           6    0.409803    0.420733   0.0033771
           7    0.416111    0.420072   0.0029585
           8    0.419824    0.420041  0.00258885
           9    0.420165    0.420055  0.00230124
          10    0.416725    0.419722  0.00209507
          11    0.423265    0.420044  0.00192922
          12    0.420211    0.420058   0.0017685
          13    0.414173    0.419605   0.0016894
          14    0.421252    0.419723  0.00157282
          15    0.421622     0.41985  0.00147305
          16    0.420552    0.419893  0.00138164
          17    0.419115    0.419848  0.00130113
          18    0.427106    0.420251  0.00128982
          19    0.434003    0.420975  0.00141047
          20     0.41751    0.420802  0.00135055
