#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.202186    0.202186           0
           2    0.197217    0.199702  0.00175691
           3    0.196205    0.198536  0.00150911
           4    0.196541    0.198037  0.00121151
           5    0.197004    0.197831 0.000986692
           6    0.194832    0.197331 0.000940329
           7    0.197957     0.19742 0.000810236
           8    0.198764    0.197588 0.000726144
           9    0.197811    0.197613 0.000645883
          10    0.194036    0.197255  0.00067309
          11    0.194823    0.197034 0.000647192
          12    0.196587    0.196997 0.000594331
          13    0.197386    0.197027 0.000549366
          14    0.197087    0.197031 0.000510143
          15    0.197112    0.197037 0.000476162
          16    0.197715    0.197079 0.000448284
          17    0.193749    0.196883 0.000462737
          18    0.196943    0.196886 0.000437041
          19    0.196264    0.196854 0.000415265
          20    0.197637    0.196893 0.000396344
