#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.292242    0.292242           0
           2    0.293621    0.292932 0.000487686
           3    0.292569    0.292811 0.000339819
           4    0.284856    0.290822  0.00174098
           5    0.292173    0.291092   0.0014136
           6    0.292083    0.291257   0.0011876
           7    0.297195    0.292106  0.00128563
           8    0.303574    0.293539  0.00175037
           9     0.29375    0.293563  0.00155604
          10    0.296392    0.293846  0.00142593
          11    0.293007    0.293769  0.00129834
          12    0.295303    0.293897  0.00119642
          13    0.302131    0.294531  0.00126093
          14    0.292515    0.294387  0.00117905
          15    0.288249    0.293977  0.00116929
          16    0.287777     0.29359  0.00115865
          17    0.291066    0.293441  0.00109996
          18    0.292351    0.293381  0.00104052
          19    0.293752      0.2934 0.000985938
          20    0.301718    0.293816  0.00102059
