#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.237376    0.237376           0
           2    0.242197    0.239786  0.00170457
           3    0.237298    0.238957  0.00132293
           4    0.235345    0.238054  0.00126332
           5    0.242099    0.238863  0.00124297
           6    0.239333    0.238941  0.00103827
           7    0.240288    0.239134 0.000907589
           8    0.239147    0.239135 0.000794142
           9    0.237773    0.238984 0.000720187
          10    0.238736    0.238959 0.000648596
          11    0.238429    0.238911 0.000591416
          12    0.238705    0.238894  0.00054238
          13    0.239903    0.238971 0.000506183
          14     0.24033    0.239068  0.00047924
          15    0.237833    0.238986 0.000454318
          16    0.235415    0.238763 0.000477623
          17    0.232249     0.23838   0.0005833
          18    0.237831    0.238349 0.000551691
          19    0.238891    0.238378 0.000523391
          20    0.238741    0.238396 0.000497537
