#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1        0.023514        0.023514               0
               2         0.03864        0.031077      0.00534785
               3        0.019052       0.0270687      0.00483963
               4        0.028938        0.027536      0.00365222
               5        0.018524       0.0257336      0.00333702
               6        0.020388       0.0248427      0.00289734
               7        0.038086       0.0267346      0.00303898
               8        0.028176       0.0269148      0.00266445
               9         0.03298       0.0275887      0.00245214
              10        0.024252        0.027255      0.00222951
              11        0.024612       0.0270147      0.00203974
              12        0.027604       0.0270638      0.00187035
              13         0.03201       0.0274443      0.00176475
              14        0.027424       0.0274429       0.0016387
              15        0.029236       0.0275624      0.00153381
              16         0.02896       0.0276498      0.00144043
              17        0.030444       0.0278141      0.00136504
              18        0.022236       0.0275042      0.00132392
              19        0.029484       0.0276084      0.00125833
              20        0.019778       0.0272169      0.00125485
