#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1        0.045016        0.045016               0
               2        0.073226        0.059121      0.00997374
               3        0.037706       0.0519827      0.00884205
               4        0.054518       0.0526165      0.00665422
               5         0.04054       0.0502012      0.00574502
               6        0.050546       0.0502587       0.0047878
               7        0.060416       0.0517097      0.00431812
               8         0.04755       0.0511898      0.00380953
               9        0.049114       0.0509591      0.00339323
              10        0.042164       0.0500796      0.00316584
              11        0.054552       0.0504862      0.00290402
              12        0.052854       0.0506835      0.00266872
              13        0.058644       0.0512958      0.00253271
              14        0.049058        0.051136      0.00235684
              15        0.053964       0.0513245      0.00220725
              16        0.051254       0.0513201       0.0020693
              17        0.054198       0.0514894      0.00195449
              18         0.05857       0.0518828      0.00188507
              19        0.053722       0.0519796      0.00178834
              20        0.036916       0.0512264      0.00185075
