#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1        0.136316        0.136316               0
               2         0.18803        0.162173       0.0182837
               3        0.132908        0.152418       0.0145607
               4         0.13212        0.147343       0.0117716
               5        0.127412        0.143357       0.0100697
               6        0.158264        0.145842      0.00869247
               7         0.15673        0.147397      0.00758858
               8        0.167428        0.149901      0.00704098
               9        0.136778        0.148443      0.00640785
              10        0.152934        0.148892      0.00578278
              11        0.127894        0.146983      0.00556323
              12        0.165662         0.14854      0.00531293
              13         0.18334        0.151217      0.00553772
              14        0.143532        0.150668       0.0051693
              15        0.138522        0.149858      0.00488769
              16        0.128488        0.148522       0.0047612
              17        0.137558        0.147877       0.0045246
              18        0.139964        0.147438      0.00429454
              19         0.14137        0.147118      0.00408037
              20         0.13748        0.146636      0.00390471
