#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1        0.029246        0.029246               0
               2        0.049852        0.039549      0.00728532
               3         0.02667        0.035256      0.00598965
               4        0.043012        0.037195      0.00479583
               5        0.031712       0.0360984      0.00396005
               6         0.03126        0.035292      0.00338115
               7        0.040788       0.0360771       0.0029879
               8        0.035608       0.0360185      0.00261499
               9        0.040384       0.0365036      0.00236899
              10        0.032378        0.036091      0.00216772
              11        0.038208       0.0362835      0.00197918
              12        0.035968       0.0362572      0.00181442
              13        0.037688       0.0363672      0.00167818
              14         0.03863       0.0365289      0.00156608
              15        0.040298       0.0367801      0.00148169
              16        0.038036       0.0368586      0.00139117
              17        0.037824       0.0369154      0.00131049
              18        0.035142       0.0368169      0.00124138
              19        0.038548        0.036908      0.00117939
              20        0.024048        0.036265      0.00128379
