#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.38264         0.38264               0
               2        0.467348        0.424994       0.0299488
               3        0.363812          0.4046       0.0259983
               4        0.317292        0.382773       0.0271572
               5         0.32071         0.37036       0.0243981
               6        0.306498        0.359717       0.0225341
               7        0.373736        0.361719       0.0194038
               8        0.368164        0.362525        0.016995
               9        0.311014        0.356802       0.0160415
              10        0.353882         0.35651         0.01444
              11         0.39697        0.360188       0.0135877
              12        0.410196        0.364355       0.0130788
              13        0.390774        0.366387       0.0122296
              14        0.373972        0.366929       0.0113681
              15        0.290772        0.361852       0.0116891
              16         0.28181        0.356849       0.0119813
              17        0.395158        0.359103       0.0114865
              18        0.324708        0.357192       0.0110061
              19        0.341744        0.356379       0.0104569
              20        0.340852        0.355603      0.00996279
