#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1        0.085608        0.085608               0
               2        0.106822        0.096215      0.00750028
               3         0.05398       0.0821367       0.0125353
               4         0.08443         0.08271      0.00941461
               5        0.078314       0.0818308      0.00757263
               6         0.07198        0.080189      0.00648606
               7        0.096834       0.0825669      0.00597949
               8        0.085864        0.082979      0.00524624
               9        0.073828       0.0819622      0.00476083
              10        0.069368       0.0807028      0.00444821
              11        0.082742       0.0808882      0.00404769
              12        0.082816       0.0810488      0.00371357
              13        0.098672       0.0824045      0.00366701
              14        0.071372       0.0816164      0.00348872
              15        0.083092       0.0817148      0.00325753
              16        0.074692       0.0812759      0.00308336
              17        0.077936       0.0810794      0.00290824
              18        0.077026       0.0808542      0.00275538
              19        0.085622       0.0811052      0.00262176
              20        0.065196       0.0803097      0.00260855
