#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      21.422      21.422           0
           2     20.3362     20.8791    0.383884
           3     17.8799     19.8794    0.855468
           4     20.7275     20.0914    0.667358
           5     19.2669     19.9265    0.553886
           6     20.0201     19.9421    0.461791
           7     18.1299     19.6832    0.462735
           8     18.3268     19.5137    0.434847
           9     18.7507     19.4289    0.394708
          10     19.8935     19.4753    0.357962
          11     20.2642     19.5471    0.332526
          12     20.4227       19.62    0.312718
          13     19.8874     19.6406    0.289338
          14     16.7322     19.4329     0.33505
          15      18.446     19.3671    0.319108
          16     20.6914     19.4498    0.309712
          17     17.9072     19.3591    0.304497
          18     19.7433     19.3804    0.288328
          19     20.8781     19.4592    0.283722
          20      19.864     19.4795    0.270257
