#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.16197     4.16197           0
           2     4.07088     4.11642   0.0322056
           3     3.96158     4.06481   0.0472974
           4     3.78704     3.99537   0.0698204
           5     3.92614     3.98152   0.0572124
           6     4.04088     3.99141   0.0485247
           7     3.94635     3.98498   0.0420175
           8     4.15815     4.00662   0.0419725
           9      3.9554     4.00093   0.0376928
          10     4.15659      4.0165   0.0369982
          11     3.89616     4.00556    0.035215
          12     3.96335     4.00204   0.0324556
          13      3.9335     3.99677   0.0303843
          14     3.87747     3.98825   0.0293846
          15     3.89502     3.98203   0.0280752
          16      3.9373     3.97924   0.0264593
          17     4.06576     3.98433   0.0253876
          18     3.98275     3.98424   0.0239774
          19     3.98892     3.98448   0.0227167
          20      3.9403     3.98228    0.021688
