#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.76421     1.76421           0
           2     1.73793     1.75107  0.00929017
           3      1.8097     1.77061   0.0171171
           4     1.82038     1.78305   0.0167602
           5      1.8402     1.79448   0.0168606
           6     1.75981      1.7887   0.0150081
           7      1.7938     1.78943   0.0128818
           8     1.78285     1.78861   0.0112977
           9     1.78601     1.78832   0.0100461
          10     1.77098     1.78659  0.00918994
          11     1.72739      1.7812  0.00980457
          12     1.83836     1.78597   0.0100782
          13     1.83015     1.78937  0.00985945
          14     1.79156     1.78952  0.00915644
          15     1.83633     1.79264  0.00906218
          16     1.78151     1.79195  0.00852249
          17     1.77727     1.79108  0.00806479
          18     1.79667     1.79139   0.0076227
          19      1.8144      1.7926  0.00731706
          20     1.81418     1.79368  0.00703029
