#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     83.9681     83.9681           0
           2     76.0221     79.9951     2.80932
           3     73.5243     77.8382     2.57085
           4      81.233     78.6869     2.06348
           5     76.8976      78.329     1.68153
           6     77.5701     78.2025     1.40602
           7     75.4159     77.8044     1.26026
           8      78.603     77.9043     1.10667
           9     83.1781     78.4902     1.12823
          10     84.6742     79.1086      1.1727
          11     84.0979     79.5622     1.15046
          12     74.8539     79.1698      1.1195
          13     79.7868     79.2173     1.03439
          14     73.8898     78.8368     1.02812
          15     84.5666     79.2188      1.0281
          16     87.2035     79.7178     1.07818
          17     75.4146     79.4647     1.04405
          18     79.2632     79.4535    0.986106
          19      76.659     79.3064    0.945111
          20     78.8319     79.2827    0.898153
