#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.3791      1.3791           0
           2      1.3241      1.3516   0.0194483
           3      1.3431     1.34877   0.0131705
           4     1.36029     1.35165   0.0101879
           5     1.34828     1.35097  0.00817251
           6     1.31673     1.34527  0.00857465
           7      1.4085      1.3543   0.0111339
           8     1.35328     1.35417  0.00974291
           9     1.34316     1.35295  0.00873685
          10       1.361     1.35375  0.00790015
          11     1.37075      1.3553  0.00733155
          12     1.36879     1.35642   0.0068062
          13     1.37475     1.35783  0.00642694
          14     1.35045      1.3573  0.00598945
          15     1.32879      1.3554   0.0058841
          16     1.37938      1.3569  0.00570403
          17     1.37526     1.35798  0.00546972
          18     1.36069     1.35813  0.00516792
          19     1.36004     1.35823  0.00489689
          20     1.38982     1.35981   0.0049001
