#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.51285     2.51285           0
           2     2.41885     2.46585   0.0332359
           3     2.57894     2.50355   0.0379239
           4     2.53498     2.51141    0.029246
           5     2.50417     2.50996   0.0234326
           6     2.53049     2.51338   0.0197755
           7     2.56461      2.5207   0.0182544
           8     2.53771     2.52283   0.0160961
           9     2.45424      2.5152   0.0160103
          10     2.58835     2.52252   0.0159931
          11     2.49376     2.51991   0.0147513
          12     2.50478     2.51864   0.0135758
          13     2.49995     2.51721   0.0126074
          14     2.55754     2.52009   0.0120315
          15     2.45123      2.5155   0.0120734
          16     2.54723     2.51748   0.0114805
          17      2.5301     2.51822   0.0108292
          18     2.62437     2.52412   0.0117238
          19      2.5632     2.52618   0.0112857
          20     2.50194     2.52496   0.0107863
