#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.91743         0.91743               0
               2        0.890314        0.903872      0.00958695
               3        0.773034        0.860259       0.0361786
               4        0.857038        0.859454       0.0271429
               5        0.922112        0.871986       0.0244366
               6         0.78503        0.857493        0.024284
               7        0.872068        0.859575       0.0209039
               8        0.957248        0.871784       0.0215636
               9        0.905276        0.875506       0.0194861
              10        0.896642        0.877619       0.0176517
              11        0.905668        0.880169       0.0162302
              12         0.91697        0.883236       0.0151646
              13        0.928694        0.886733       0.0143956
              14        0.856646        0.884584       0.0135268
              15        0.944268        0.888563       0.0131973
              16        0.940118        0.891785       0.0127598
              17        0.866852        0.890318       0.0120932
              18        0.915604        0.891723       0.0115026
              19        0.919654        0.893193       0.0109908
              20        0.939922        0.895529       0.0106867
