#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1        0.075438        0.075438               0
               2        0.056222         0.06583      0.00679388
               3        0.077802       0.0698207      0.00557952
               4        0.079884       0.0723365      0.00471787
               5        0.067124        0.071294      0.00388777
               6         0.09309       0.0749267      0.00463608
               7        0.068442       0.0740003      0.00406529
               8        0.067442       0.0731805      0.00363884
               9        0.082342       0.0741984      0.00337391
              10         0.07697       0.0744756      0.00304788
              11         0.05982       0.0731433      0.00304812
              12        0.074144       0.0732267      0.00279525
              13        0.077722       0.0735725      0.00260153
              14        0.070942       0.0733846      0.00242249
              15        0.076206       0.0735727      0.00226828
              16        0.072672       0.0735164      0.00212721
              17        0.081218       0.0739694      0.00204975
              18        0.075768       0.0740693      0.00193831
              19        0.079978       0.0743803      0.00186107
              20         0.08494       0.0749083      0.00184139
