#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1        0.038744        0.038744               0
               2        0.032618        0.035681      0.00216587
               3        0.038326       0.0365627      0.00161341
               4        0.034448        0.036034      0.00129378
               5        0.042342       0.0372956       0.0015312
               6        0.034532        0.036835      0.00134349
               7        0.040222       0.0373189      0.00123563
               8         0.03853       0.0374703      0.00109041
               9        0.026266       0.0362253      0.00152219
              10        0.033886       0.0359914      0.00138783
              11        0.032684       0.0356907      0.00129383
              12        0.032232       0.0354025      0.00121769
              13        0.039484       0.0357165      0.00116379
              14        0.037184       0.0358213      0.00108537
              15        0.036246       0.0358496      0.00101338
              16        0.044668       0.0364008      0.00108967
              17        0.038424       0.0365198      0.00103205
              18        0.036968       0.0365447     0.000975012
              19         0.03156       0.0362823     0.000958341
              20        0.029556        0.035946     0.000967639
