#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.02454         0.02454               0
               2        0.025722        0.025131       0.0004179
               3        0.022388       0.0242167     0.000796841
               4         0.03476       0.0268525      0.00235963
               5        0.034978       0.0284776      0.00238248
               6        0.031192         0.02893       0.0020279
               7        0.023468       0.0281497      0.00188234
               8        0.031574       0.0285778      0.00169501
               9        0.027896        0.028502      0.00150837
              10        0.022792        0.027931      0.00146162
              11        0.025778       0.0277353      0.00134179
              12        0.024716       0.0274837      0.00125334
              13        0.030422       0.0277097      0.00117713
              14        0.029084       0.0278079      0.00109714
              15        0.025648       0.0276639       0.0010334
              16        0.027028       0.0276241     0.000969577
              17        0.030618       0.0278002     0.000928399
              18        0.026634       0.0277354     0.000879079
              19        0.032728       0.0279982     0.000871199
              20         0.02971       0.0280838     0.000831833
