#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.39993         0.39993               0
               2        0.291262        0.345596       0.0384199
               3        0.367534        0.352909          0.0263
               4        0.412482        0.367802       0.0235677
               5        0.382232        0.370688         0.01903
               6        0.401034        0.375746       0.0165168
               7         0.37443        0.375558       0.0141583
               8         0.34096        0.371233       0.0130323
               9        0.331588        0.366828       0.0123062
              10          0.3895        0.369095       0.0112825
              11        0.306416        0.363397       0.0116069
              12        0.370094        0.363955        0.010653
              13        0.342988        0.362342      0.00995491
              14        0.307984         0.35846      0.00997234
              15        0.281104        0.353303       0.0105571
              16        0.368558        0.354256      0.00994022
              17        0.347678        0.353869      0.00936303
              18        0.350144        0.353662      0.00884515
              19         0.37528          0.3548      0.00845248
              20        0.345808         0.35435       0.0080418
