#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1        0.046474        0.046474               0
               2        0.047858        0.047166     0.000489318
               3        0.045962       0.0467647     0.000462378
               4        0.052782        0.048269      0.00134816
               5        0.053938       0.0494028      0.00148041
               6         0.05015       0.0495273       0.0012389
               7        0.052206         0.04991      0.00111946
               8        0.043306       0.0490845      0.00124729
               9        0.055376       0.0497836      0.00128981
              10        0.046972       0.0495024      0.00119108
              11        0.055924       0.0500862      0.00121748
              12        0.050416       0.0501137      0.00111634
              13        0.044382       0.0496728      0.00111413
              14        0.052084        0.049845      0.00104778
              15        0.050842       0.0499115     0.000980035
              16        0.053298       0.0501231     0.000941362
              17        0.051006       0.0501751     0.000887419
              18        0.055658       0.0504797      0.00088886
              19         0.04717       0.0503055     0.000858977
              20        0.044634       0.0500219     0.000861566
