#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.583276   -0.583276           0
           2   -0.581108   -0.582192 0.000766504
           3    -0.58534   -0.583241 0.000997592
           4   -0.582508   -0.583058 0.000764855
           5   -0.583084   -0.583063 0.000611902
           6   -0.584116   -0.583239 0.000534484
           7   -0.582868   -0.583186 0.000460745
           8   -0.581764   -0.583008  0.00043608
           9   -0.582592   -0.582962 0.000390069
          10   -0.582692   -0.582935 0.000351994
          11    -0.58408   -0.583039 0.000335037
          12    -0.58298   -0.583034 0.000307153
          13   -0.581036    -0.58288 0.000319674
          14    -0.57908   -0.582609 0.000395646
          15   -0.583032   -0.582637 0.000370274
          16   -0.583584   -0.582696  0.00035183
          17   -0.583364   -0.582736  0.00033332
          18    -0.58102    -0.58264 0.000328145
          19   -0.583816   -0.582702 0.000316655
          20   -0.580388   -0.582586 0.000321267
