#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.869104   -0.869104           0
           2   -0.871764   -0.870434 0.000940452
           3   -0.869856   -0.870241 0.000646402
           4   -0.869016   -0.869935 0.000552642
           5   -0.872488   -0.870446 0.000635637
           6     -0.8733   -0.870921 0.000684968
           7    -0.86824   -0.870538 0.000685908
           8    -0.86648   -0.870031 0.000765098
           9   -0.874564   -0.870535 0.000829465
          10   -0.873184     -0.8708 0.000787693
          11   -0.867748   -0.870522 0.000763375
          12    -0.86768   -0.870285 0.000735586
          13   -0.870916   -0.870334   0.0006806
          14    -0.86552    -0.86999 0.000713577
          15   -0.871356   -0.870081 0.000671791
          16    -0.87552   -0.870421 0.000710623
          17   -0.870604   -0.870432 0.000668903
          18    -0.86802   -0.870298 0.000645022
          19   -0.874236   -0.870505 0.000643516
          20   -0.868368   -0.870398 0.000620147
