#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.965008   -0.965008           0
           2   -0.966964   -0.965986  0.00069155
           3   -0.970112   -0.967361  0.00121391
           4    -0.96432   -0.966601   0.0011236
           5   -0.964876   -0.966256 0.000950368
           6    -0.97896   -0.968373  0.00208881
           7   -0.970412   -0.968665   0.0018106
           8   -0.982248   -0.970362  0.00224333
           9   -0.971532   -0.970492  0.00199783
          10   -0.971428   -0.970586  0.00180024
          11   -0.971144   -0.970637  0.00163729
          12   -0.972856   -0.970822  0.00151126
          13    -0.97104   -0.970838   0.0013951
          14   -0.978172   -0.971362  0.00139032
          15   -0.966816   -0.971059  0.00133026
          16    -0.97748    -0.97146  0.00130625
          17   -0.975648   -0.971707  0.00125242
          18    -0.96954   -0.971586  0.00118861
          19   -0.974208   -0.971724  0.00113403
          20   -0.976756   -0.971976  0.00110488
