#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.763636   -0.763636           0
           2   -0.758528   -0.761082  0.00180595
           3     -0.7629   -0.761688  0.00130168
           4   -0.763856    -0.76223  0.00108324
           5   -0.761744   -0.762133 0.000870939
           6   -0.761248   -0.761985 0.000738161
           7   -0.760836   -0.761821 0.000650714
           8    -0.76032   -0.761634 0.000595816
           9   -0.761188   -0.761584 0.000531666
          10   -0.760264   -0.761452 0.000494615
          11    -0.76378   -0.761664 0.000492852
          12    -0.76414    -0.76187 0.000493095
          13    -0.76244   -0.761914  0.00045711
          14   -0.761716     -0.7619 0.000424678
          15   -0.760344   -0.761796 0.000408834
          16   -0.763872   -0.761926 0.000403346
          17   -0.760208   -0.761825 0.000392072
          18   -0.760708   -0.761763 0.000375167
          19   -0.762516   -0.761802  0.00035751
          20   -0.759156    -0.76167 0.000363296
