#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.46296    -0.46296           0
           2   -0.458988   -0.460974  0.00140431
           3   -0.462892   -0.461613  0.00107191
           4   -0.463364   -0.462051 0.000888802
           5   -0.461504   -0.461942 0.000717743
           6   -0.462528   -0.462039 0.000604736
           7   -0.464876   -0.462445 0.000639875
           8   -0.462408    -0.46244 0.000559907
           9    -0.46228   -0.462422 0.000497977
          10   -0.462464   -0.462426 0.000448197
          11   -0.461616   -0.462353 0.000413463
          12    -0.46336   -0.462437 0.000387434
          13     -0.4615   -0.462365  0.00036427
          14   -0.462164    -0.46235 0.000338532
          15   -0.461704   -0.462307 0.000318693
          16   -0.463788     -0.4624 0.000311924
          17   -0.462484   -0.462405 0.000293615
          18    -0.46378   -0.462481 0.000287072
          19     -0.4608   -0.462393 0.000285273
          20   -0.461856   -0.462366 0.000272268
