#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.583044   -0.583044           0
           2   -0.580392   -0.581718 0.000937624
           3   -0.585232   -0.582889  0.00114255
           4   -0.584476   -0.583286 0.000923201
           5     -0.5818   -0.582989 0.000784943
           6   -0.583116    -0.58301 0.000654405
           7    -0.58398   -0.583149 0.000575403
           8   -0.582356    -0.58305 0.000511936
           9   -0.582324   -0.582969 0.000461357
          10   -0.582612   -0.582933 0.000416599
          11   -0.583268   -0.582964 0.000379837
          12   -0.582264   -0.582905  0.00035263
          13   -0.581036   -0.582762 0.000353609
          14   -0.583536   -0.582817 0.000332651
          15   -0.580884   -0.582688 0.000334501
          16    -0.58282   -0.582696 0.000313697
          17   -0.583012   -0.582715 0.000295793
          18   -0.582372   -0.582696 0.000279973
          19   -0.582536   -0.582687 0.000265364
          20    -0.58096   -0.582601 0.000265779
