#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.87486    -0.87486           0
           2   -0.869824   -0.872342  0.00178049
           3   -0.867632   -0.870772  0.00174706
           4   -0.872208   -0.871131  0.00134668
           5   -0.868796   -0.870664  0.00115548
           6   -0.872848   -0.871028  0.00101862
           7   -0.868572   -0.870677 0.000931572
           8   -0.871292   -0.870754  0.00081829
           9   -0.869104   -0.870571 0.000747624
          10   -0.873012   -0.870815 0.000711607
          11    -0.87328   -0.871039 0.000681292
          12   -0.873372   -0.871233 0.000651669
          13    -0.87118   -0.871229 0.000601554
          14   -0.865468   -0.870818 0.000685031
          15     -0.8683    -0.87065 0.000659605
          16    -0.87124   -0.870687  0.00061941
          17   -0.866184   -0.870422 0.000637093
          18    -0.87484   -0.870667 0.000647256
          19   -0.874324    -0.87086 0.000641164
          20   -0.871872    -0.87091   0.0006111
