#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.978848   -0.978848           0
           2   -0.970704   -0.974776  0.00287934
           3   -0.967692   -0.972415  0.00272066
           4   -0.976716    -0.97349  0.00224296
           5    -0.97276   -0.973344  0.00179911
           6   -0.972824   -0.973257  0.00150135
           7    -0.97006   -0.972801  0.00135457
           8   -0.973652   -0.972907  0.00118942
           9   -0.978576   -0.973537  0.00121263
          10     -0.9796   -0.974143  0.00123367
          11    -0.97872   -0.974559  0.00118961
          12   -0.970752   -0.974242    0.001132
          13   -0.975056   -0.974305  0.00104665
          14   -0.968316   -0.973877  0.00105569
          15   -0.980516   -0.974319  0.00107409
          16   -0.982268   -0.974816  0.00111595
          17   -0.970744   -0.974577  0.00107571
          18    -0.97456   -0.974576  0.00101595
          19   -0.971736   -0.974426 0.000973408
          20   -0.973396   -0.974375   0.0009261
