#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.666856   -0.666856           0
           2    -0.66256   -0.664708  0.00151887
           3   -0.665624   -0.665013  0.00104282
           4   -0.663956   -0.664749 0.000814925
           5   -0.663996   -0.664598  0.00066571
           6   -0.664328   -0.664553 0.000556282
           7   -0.663944   -0.664466 0.000483576
           8   -0.664428   -0.664462 0.000423152
           9   -0.664012   -0.664412 0.000379071
          10   -0.665184   -0.664489 0.000348946
          11    -0.66444   -0.664484 0.000317252
          12   -0.665508    -0.66457 0.000302065
          13   -0.662176   -0.664386 0.000330213
          14    -0.66486   -0.664419 0.000308361
          15   -0.662232   -0.664274 0.000320436
          16    -0.66444   -0.664284 0.000300577
          17   -0.665532   -0.664357 0.000291723
          18   -0.664784   -0.664381 0.000276477
          19      -0.663   -0.664308 0.000271313
          20    -0.66396   -0.664291 0.000258306
