#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.385512    0.385512           0
           2    0.364189     0.37485  0.00753898
           3    0.349469     0.36639  0.00854271
           4     0.38462    0.370947  0.00752511
           5    0.388461     0.37445   0.0067865
           6    0.298536    0.361798   0.0128603
           7    0.377806    0.364085   0.0112246
           8    0.248909    0.349688   0.0166681
           9    0.341787     0.34881   0.0148392
          10    0.351352    0.349064   0.0133574
          11    0.337402    0.348004   0.0121851
          12    0.320353      0.3457   0.0113855
          13    0.361928    0.346948   0.0105779
          14    0.304388    0.343908   0.0102499
          15    0.363444     0.34521  0.00964892
          16    0.296522    0.342167  0.00951362
          17    0.354356    0.342884  0.00898097
          18    0.370022    0.344392  0.00860764
          19    0.309963     0.34258  0.00834316
          20    0.305063    0.340704  0.00813415
