#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.243227    0.243227           0
           2    0.242008    0.242617 0.000430923
           3    0.234956    0.240063   0.0021049
           4    0.236365    0.239139  0.00177016
           5    0.233456    0.238002  0.00174326
           6    0.247206    0.239536  0.00201771
           7    0.233817    0.238719  0.00188765
           8    0.245692    0.239591  0.00184198
           9    0.241004    0.239748    0.001644
          10    0.239826    0.239755  0.00147961
          11    0.237195    0.239523  0.00136329
          12     0.23951    0.239522  0.00124968
          13    0.242423    0.239745  0.00117331
          14     0.23515    0.239417  0.00113447
          15    0.242331    0.239611  0.00107535
          16    0.242439    0.239788  0.00102256
          17     0.23858    0.239717 0.000964876
          18    0.242091    0.239848 0.000920244
          19    0.238786    0.239793 0.000873506
          20    0.239809    0.239793 0.000829831
