#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.415291    0.415291           0
           2    0.426484    0.420887  0.00395721
           3    0.418955    0.420243  0.00269002
           4    0.405529    0.416565  0.00377094
           5    0.419304    0.417113  0.00305629
           6     0.41733    0.417149  0.00254713
           7    0.415821    0.416959   0.0021903
           8    0.414011    0.416591  0.00194727
           9    0.419337    0.416896  0.00175466
          10    0.420733    0.417279   0.0016206
          11    0.402246    0.415913  0.00196689
          12    0.419991    0.416253   0.0018321
          13    0.414134     0.41609   0.0016984
          14    0.418077    0.416232  0.00158301
          15    0.405562     0.41552  0.00162946
          16    0.418322    0.415695    0.001537
          17    0.420862    0.415999  0.00147633
          18    0.420567    0.416253  0.00141595
          19    0.408403     0.41584   0.0014004
          20    0.416716    0.415884  0.00133107
