#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.430905    0.430905           0
           2    0.438785    0.434845  0.00278604
           3    0.465875    0.445188  0.00864734
           4    0.428515     0.44102  0.00742248
           5    0.440879    0.440992  0.00593804
           6    0.424042    0.438167  0.00558004
           7    0.434228    0.437604  0.00481118
           8    0.439716    0.437868  0.00421702
           9     0.45823    0.440131  0.00431288
          10    0.399952    0.436113  0.00544017
          11    0.440346    0.436498   0.0049592
          12    0.416986    0.434872  0.00480509
          13    0.446752    0.435785  0.00452153
          14    0.402739    0.433425  0.00477513
          15    0.449266    0.434481  0.00457208
          16    0.450995    0.435513  0.00440127
          17    0.440892     0.43583  0.00415373
          18    0.427392    0.435361  0.00394933
          19    0.434295    0.435305  0.00374187
          20    0.431536    0.435116  0.00355952
