#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.292615    0.292615           0
           2    0.297285     0.29495  0.00165105
           3     0.28956    0.293153  0.00183393
           4    0.294875    0.293584  0.00142509
           5    0.290622    0.292991  0.00125713
           6    0.293252    0.293035  0.00104836
           7    0.292607    0.292974 0.000900377
           8    0.301666     0.29406  0.00128595
           9    0.298005    0.294499  0.00121548
          10    0.296099    0.294659  0.00110441
          11    0.289749    0.294212  0.00109047
          12    0.293118    0.294121   0.0010034
          13    0.296755    0.294324 0.000946447
          14    0.291302    0.294108 0.000903118
          15    0.294416    0.294128 0.000843144
          16    0.294484    0.294151 0.000790741
          17    0.297957    0.294375 0.000775271
          18    0.288663    0.294057 0.000794483
          19    0.285792    0.293622  0.00086359
          20    0.291734    0.293528 0.000825557
