#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.357058    0.357058           0
           2    0.356138    0.356598 0.000325272
           3    0.355284     0.35616 0.000418154
           4    0.357012    0.356373 0.000363819
           5    0.365108     0.35812  0.00158942
           6    0.359853    0.358409  0.00135049
           7    0.349352    0.357115  0.00166581
           8    0.358366    0.357271   0.0014649
           9    0.356812     0.35722  0.00130302
          10    0.360455    0.357544  0.00121222
          11    0.357284     0.35752  0.00110225
          12     0.34566    0.356532   0.0013843
          13    0.364329    0.357132  0.00140174
          14    0.367933    0.357903  0.00149896
          15    0.358633    0.357952  0.00139982
          16    0.351403    0.357542  0.00137087
          17    0.357717    0.357553  0.00129027
          18    0.360838    0.357735  0.00123143
          19    0.355615    0.357624  0.00117166
          20    0.359052    0.357695  0.00111525
