443.033				478.75
436.97				462.496
428.631				452.386
420.958				444.427
416.344				434.094
407.117				428.373
394.532				423.496
386.565				412.543
379.409				402.049
378.847				394.312
365.348				388.237
360.373				381.552
353.398				376.498
352.089				371.716
346.186				366.01
344.697				360.017
325.564				355.335
325.005				348.577
317.318				340.951
316.569				333.833
315.363				329.074
311.881				325.267
311.881				321.116
310.991				318.422
307.802				316.333
307.802				314.215
305.581				313.907
302.997				312.501
297.949				311.533
296.651				309.045
295.739				305.804
293.559				303.391
293.559				301.917
289.344				299.983
289.344				297.111
287.13				293.658
284.809				292.024
284.804				290.258
283.034				289.31
281.509				287.731
276.881				286.225
276.881				284.865
276.717				283.344
273.476				282.239
272.42				280.596
270.832				278.249
269.222				276.466
265.242				275.352
264.687				273.928
263.756				272.071
255.409				270.963
255.409				269.031
255.409				268.41
254.106				269.403
253.003				266.755
252.587				262.82
252.587				260.55
252.507				259.618
252.371				257.905
251.117				257.17
246				256.152
245.869				255.632
245.528				252.813
244.68				250.675
242.409				249.26
241.937				248.093
240.698				247.035
240.227				246.124
238.614				244.108
237.19				243.028
235.787				243.03
232.291				242.202
232.291				241.567
230.598				239.607
230.598				237.52
195.917				236.944
195.917				233.836
195.411				230.017
195.411				224.489
195.411				214.689
194.991				209.865
194.672				203.178
192.381				201.195
192.381				200.436
192.214				199.787
192.214				199.08
191.982				197.428
190.467				195.18
190.235				195.358
190.063				195.118
189.626				194.116
189.266				193.857
188.475				193.295
187.241				192.123
185.199				193.452
185.181				192.162
184.936				190.974
183.698				189.92
182.993				189.506
180.483				188.947
177.619				186.986
177.619				185.587
177.619				185.403
176.619				186.938
176.619				187.283
176.472				185.914
176.068				183.946
175.835				181.9
175.063				180.313
169.753				179.567
169.753				178.149
168.742				176.774
168.638				176.842
167.68				175.031
166.985				173.083
166.919				172.333
166.58				171.647
166.58				171.365
166.516				171.843
165.772				170.951
163.473				169.87
163.473				169.491
160.712				169.025
160.712				167.881
160.321				165.2
160.321				164.173
159.257				162.83
159.257				161.7
159.257				162.445
159.001				162.066
158.755				161.293
158.755				161.031
158.499				160.805
158.424				160.883
158.312				162.087
158.071				160.754
157.192				160.487
156.127				159.579
156.127				160.139
