#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0476592   0.0476592           0
           2    0.055201   0.0514301  0.00266643
           3   0.0550764   0.0526455  0.00203587
           4   0.0513071   0.0523109  0.00155416
           5   0.0564665    0.053142   0.0014486
           6   0.0486618   0.0523953  0.00138632
           7   0.0496593   0.0520045  0.00124215
           8   0.0511174   0.0518936  0.00109182
           9   0.0492979   0.0516052  0.00100788
          10   0.0528479   0.0517294 0.000914725
          11   0.0528065   0.0518274 0.000836792
          12   0.0525306    0.051886 0.000769109
          13   0.0480446   0.0515905 0.000764606
          14   0.0465978   0.0512338 0.000788785
          15   0.0472572   0.0509687  0.00077948
          16   0.0564724   0.0513127 0.000803081
          17   0.0528575   0.0514036 0.000760965
          18   0.0516398   0.0514167 0.000718802
          19   0.0456552   0.0511135 0.000742181
          20   0.0510777   0.0511117 0.000705074
          21   0.0469721   0.0509146 0.000698511
          22   0.0539552   0.0510528 0.000680297
          23   0.0463313   0.0508475 0.000680987
          24   0.0530581   0.0509396 0.000658812
          25   0.0495954   0.0508858  0.00063465
          26   0.0493547   0.0508269 0.000612967
          27   0.0480416   0.0507238 0.000598883
          28   0.0520716   0.0507719 0.000579425
          29   0.0551452   0.0509227 0.000578736
          30   0.0496053   0.0508788 0.000561108
          31   0.0475957   0.0507729 0.000552913
          32    0.046697   0.0506455 0.000550109
          33     0.04761   0.0505535 0.000541075
          34   0.0542495   0.0506622 0.000535969
          35   0.0507389   0.0506644  0.00052066
          36   0.0481312   0.0505941 0.000510931
          37   0.0534882   0.0506723 0.000503074
          38   0.0544895   0.0507727 0.000499763
          39   0.0499762   0.0507523 0.000487366
          40   0.0493842   0.0507181 0.000476381
          41   0.0569677   0.0508705  0.00048854
          42   0.0539603   0.0509441 0.000482415
          43   0.0527043    0.050985  0.00047293
          44   0.0525002   0.0510195 0.000463433
          45   0.0486393   0.0509666 0.000456143
          46   0.0485357   0.0509137 0.000449278
          47   0.0462025   0.0508135 0.000450762
          48   0.0484702   0.0507647 0.000444007
          49   0.0490594   0.0507299 0.000436307
          50   0.0572388   0.0508601 0.000446579
          51   0.0540439   0.0509225 0.000442165
          52   0.0489828   0.0508852 0.000435232
          53   0.0485494   0.0508411 0.000429246
          54   0.0476044   0.0507812 0.000425461
          55   0.0509516   0.0507843 0.000417737
          56   0.0516027   0.0507989 0.000410533
          57   0.0554282   0.0508801 0.000411285
          58   0.0489401   0.0508467 0.000405552
          59   0.0479545   0.0507976  0.00040163
          60   0.0491633   0.0507704 0.000395859
          61    0.052497   0.0507987  0.00039038
          62   0.0520884   0.0508195 0.000384637
          63   0.0494922   0.0507984 0.000379108
          64   0.0498893   0.0507842 0.000373451
          65   0.0536261    0.050828 0.000370256
          66   0.0521013   0.0508472 0.000365148
          67   0.0508464   0.0508472 0.000359698
          68   0.0488197   0.0508174 0.000355642
          69   0.0522134   0.0508376 0.000351063
          70    0.048238   0.0508005 0.000348007
          71     0.05308   0.0508326 0.000344583
          72   0.0516741   0.0508443 0.000339995
          73   0.0499999   0.0508327 0.000335534
          74    0.055334   0.0508936 0.000336469
          75    0.045948   0.0508276 0.000338382
          76   0.0540141   0.0508695 0.000336517
          77   0.0480114   0.0508324 0.000334188
          78   0.0528991   0.0508589 0.000330952
          79   0.0557707   0.0509211 0.000332552
          80   0.0566716    0.050993 0.000336074
          81   0.0521536   0.0510073  0.00033223
          82   0.0510454   0.0510078 0.000328179
          83   0.0494087   0.0509885  0.00032479
          84   0.0517459   0.0509975 0.000321048
          85     0.04921   0.0509765 0.000317959
          86   0.0436782   0.0508916  0.00032539
          87    0.051564   0.0508994 0.000321742
          88   0.0563215    0.050961 0.000323932
          89   0.0572177   0.0510313 0.000327832
          90   0.0495476   0.0510148 0.000324603
          91    0.053617   0.0510434 0.000322293
          92   0.0496317    0.051028 0.000319155
          93   0.0526405   0.0510454 0.000316194
          94   0.0535371   0.0510719 0.000313939
          95   0.0462516   0.0510211 0.000314708
          96   0.0540125   0.0510523 0.000312969
          97    0.047373   0.0510144 0.000312033
          98   0.0557258   0.0510625  0.00031253
          99   0.0451835   0.0510031 0.000314964
         100    0.053286   0.0510259 0.000312641
