#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.456094   -0.456094           0
           2   -0.473433   -0.464764  0.00613033
           3   -0.447331   -0.458953  0.00626204
           4   -0.414731   -0.447897   0.0106643
           5     -0.3683   -0.431978   0.0165991
           6   -0.401095   -0.426831   0.0146088
           7   -0.406514   -0.423928   0.0128069
           8   -0.431309   -0.424851   0.0112393
           9   -0.453918   -0.428081   0.0104442
          10   -0.434911   -0.428764  0.00942207
          11    -0.41934   -0.427907  0.00860438
          12   -0.441963   -0.429078  0.00796668
          13   -0.422654   -0.428584  0.00736917
          14    -0.43554   -0.429081  0.00685953
          15   -0.426071    -0.42888  0.00640516
          16   -0.392139   -0.426584  0.00640325
          17   -0.446577    -0.42776  0.00613364
          18   -0.435008   -0.428163  0.00580609
          19    -0.48628   -0.431221  0.00625454
          20   -0.458648   -0.432593   0.0060903
          21   -0.494341   -0.435533  0.00647128
          22   -0.479102   -0.437514  0.00647308
          23   -0.421275   -0.436808  0.00623003
          24   -0.463274    -0.43791  0.00606726
          25   -0.480014   -0.439594   0.0060538
          26   -0.432298   -0.439314  0.00582746
          27   -0.414959   -0.438412  0.00568101
          28   -0.431217   -0.438155  0.00548392
          29    -0.42217   -0.437604  0.00532245
          30   -0.382198   -0.435757  0.00545606
          31   -0.416983   -0.435151  0.00531356
          32    -0.42673   -0.434888  0.00515403
          33   -0.393645   -0.433638  0.00514715
          34   -0.385983   -0.432237  0.00518308
          35   -0.395231   -0.431179  0.00514171
          36   -0.382414   -0.429825  0.00517424
          37   -0.424323   -0.429676  0.00503653
          38   -0.443248   -0.430033  0.00491664
          39   -0.399455   -0.429249  0.00485269
          40   -0.376502    -0.42793  0.00490727
          41   -0.416486   -0.427651  0.00479552
          42   -0.400639   -0.427008  0.00472427
          43   -0.407346   -0.426551  0.00463648
          44   -0.398148   -0.425905  0.00457582
          45   -0.394663   -0.425211   0.0045265
          46   -0.362785   -0.423854  0.00462706
          47   -0.356192   -0.422414  0.00474729
          48   -0.360803   -0.421131  0.00481879
          49   -0.374806   -0.420185  0.00481229
          50   -0.417918    -0.42014  0.00471626
          51   -0.428068   -0.420296  0.00462634
          52   -0.408706   -0.420073  0.00454274
          53   -0.412246   -0.419925  0.00445943
          54   -0.410956   -0.419759  0.00437994
          55   -0.432415   -0.419989  0.00430634
          56   -0.430283   -0.420173  0.00423337
          57   -0.398375    -0.41979  0.00417633
          58   -0.470108   -0.420658  0.00419346
          59   -0.495997   -0.421935  0.00431242
          60   -0.492704   -0.423114  0.00439889
          61    -0.54399   -0.425096  0.00475218
          62   -0.520005   -0.426627  0.00491591
          63   -0.496778    -0.42774  0.00496239
          64   -0.421454   -0.427642  0.00488582
          65   -0.407525   -0.427333  0.00482045
          66    -0.43417   -0.427436  0.00474853
          67   -0.440228   -0.427627  0.00468149
          68   -0.433755   -0.427717  0.00461351
          69   -0.416262   -0.427551  0.00454963
          70    -0.43253   -0.427622   0.0044852
          71   -0.395974   -0.427177  0.00444412
          72   -0.441711   -0.427378  0.00438698
          73   -0.476759   -0.428055  0.00437872
          74   -0.431191   -0.428097  0.00431976
          75   -0.401665   -0.427745  0.00427651
          76   -0.418494   -0.427623  0.00422198
          77   -0.395735   -0.427209  0.00418741
          78   -0.414874   -0.427051  0.00413671
          79   -0.377916   -0.426429  0.00413084
          80   -0.383096   -0.425887  0.00411456
          81   -0.411051   -0.425704  0.00406784
          82   -0.374495    -0.42508  0.00406588
          83   -0.343257   -0.424094  0.00413468
          84   -0.395198    -0.42375  0.00409974
          85   -0.392846   -0.423386   0.0040676
          86    -0.40054    -0.42312  0.00402897
          87   -0.373295   -0.422548  0.00402316
          88   -0.372309   -0.421977  0.00401774
          89   -0.423735   -0.421997  0.00397265
          90   -0.398013    -0.42173  0.00393743
          91    -0.38965   -0.421378  0.00390991
          92   -0.360034   -0.420711  0.00392386
          93   -0.382971   -0.420305  0.00390259
          94   -0.414115   -0.420239  0.00386163
          95   -0.405532   -0.420084  0.00382409
          96   -0.392966   -0.419802  0.00379467
          97   -0.400923   -0.419607  0.00376054
          98   -0.435195   -0.419766  0.00372553
          99   -0.444195   -0.420013  0.00369606
         100   -0.410059   -0.419914  0.00366044
