#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.42224     1.42224           0
           2     1.42209     1.42216  5.3251e-05
           3     1.42231     1.42221 5.30164e-05
           4     1.42228     1.42223  4.2304e-05
           5     1.42238     1.42226 4.38547e-05
           6     1.42247     1.42229 4.84976e-05
           7     1.42237      1.4223 4.26901e-05
           8     1.42236     1.42231 3.79114e-05
           9     1.42238     1.42232 3.44794e-05
          10     1.42234     1.42232 3.10776e-05
          11     1.42226     1.42231 2.86609e-05
          12     1.42236     1.42232 2.64824e-05
          13     1.42234     1.42232 2.44993e-05
          14     1.42222     1.42231 2.37311e-05
          15     1.42209      1.4223 2.65369e-05
          16     1.42208     1.42228 2.82068e-05
          17     1.42222     1.42228 2.67732e-05
          18     1.42221     1.42228 2.55446e-05
          19     1.42231     1.42228 2.42744e-05
          20     1.42233     1.42228 2.32226e-05
          21     1.42232     1.42228 2.21809e-05
          22      1.4224     1.42229 2.17876e-05
          23     1.42241     1.42229 2.15158e-05
          24     1.42235      1.4223  2.0744e-05
          25     1.42244      1.4223 2.06873e-05
          26     1.42241     1.42231 2.03251e-05
          27     1.42233     1.42231 1.95933e-05
          28     1.42222      1.4223 1.91442e-05
          29     1.42236     1.42231 1.85761e-05
          30     1.42238     1.42231 1.81097e-05
          31     1.42232     1.42231 1.75295e-05
          32     1.42231     1.42231 1.69817e-05
          33     1.42234     1.42231 1.64987e-05
          34     1.42236     1.42231 1.60914e-05
          35     1.42241     1.42231 1.58929e-05
          36     1.42225     1.42231 1.55559e-05
          37      1.4223     1.42231 1.51394e-05
          38     1.42224     1.42231 1.48514e-05
          39     1.42215     1.42231 1.50365e-05
          40     1.42211      1.4223 1.54357e-05
          41     1.42219      1.4223 1.53004e-05
          42     1.42228      1.4223 1.49443e-05
          43     1.42227      1.4223 1.46072e-05
          44     1.42237      1.4223 1.43734e-05
          45     1.42242      1.4223 1.42965e-05
          46     1.42234      1.4223 1.40118e-05
          47     1.42237      1.4223 1.37901e-05
          48     1.42237      1.4223 1.35733e-05
          49     1.42223      1.4223 1.33837e-05
          50     1.42216      1.4223 1.34186e-05
          51     1.42207      1.4223 1.39249e-05
          52       1.422     1.42229 1.47459e-05
          53       1.422     1.42228 1.54391e-05
          54      1.4222     1.42228 1.52368e-05
          55     1.42234     1.42228 1.49989e-05
          56      1.4224     1.42229 1.48676e-05
          57     1.42243     1.42229 1.48164e-05
          58     1.42239     1.42229 1.46614e-05
          59      1.4225     1.42229  1.4844e-05
          60     1.42242      1.4223 1.47471e-05
          61     1.42234      1.4223 1.45215e-05
          62     1.42226      1.4223 1.43001e-05
          63      1.4223      1.4223 1.40731e-05
          64     1.42229      1.4223 1.38541e-05
          65     1.42225      1.4223  1.3661e-05
          66      1.4222     1.42229 1.35288e-05
          67     1.42224     1.42229 1.33476e-05
          68     1.42231     1.42229 1.31551e-05
          69     1.42227     1.42229 1.29697e-05
          70     1.42231     1.42229 1.27871e-05
          71     1.42231     1.42229 1.26104e-05
          72     1.42233     1.42229 1.24469e-05
          73     1.42222     1.42229 1.23216e-05
          74     1.42243     1.42229 1.22919e-05
          75     1.42228     1.42229 1.21295e-05
          76     1.42252      1.4223 1.23158e-05
          77     1.42241      1.4223 1.22454e-05
          78      1.4223      1.4223 1.20884e-05
          79     1.42223      1.4223 1.19659e-05
          80      1.4222      1.4223 1.18827e-05
          81     1.42234      1.4223 1.17494e-05
          82     1.42229      1.4223 1.16062e-05
          83      1.4223      1.4223 1.14664e-05
          84     1.42232      1.4223 1.13318e-05
          85     1.42232      1.4223 1.12014e-05
          86     1.42239      1.4223 1.11229e-05
          87     1.42236      1.4223 1.10201e-05
          88     1.42235      1.4223 1.09089e-05
          89     1.42231      1.4223 1.07872e-05
          90     1.42228      1.4223 1.06702e-05
          91     1.42229      1.4223 1.05533e-05
          92     1.42239      1.4223 1.04872e-05
          93     1.42213      1.4223 1.05422e-05
          94     1.42223      1.4223  1.0454e-05
          95      1.4222      1.4223  1.0394e-05
          96     1.42221      1.4223 1.03283e-05
          97     1.42217      1.4223 1.03056e-05
          98     1.42225     1.42229 1.02122e-05
          99     1.42223     1.42229 1.01312e-05
         100     1.42229     1.42229 1.00299e-05
