#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.82026     1.82026           0
           2     1.88753      1.8539   0.0237825
           3     1.89957     1.86912   0.0201472
           4     1.84279     1.86254   0.0161499
           5     1.89274     1.86858   0.0140039
           6     1.88539     1.87138    0.011947
           7     1.87458     1.87184    0.010249
           8     1.86715     1.87125  0.00898462
           9     1.83629     1.86737  0.00878622
          10      1.8508     1.86571  0.00806229
          11     1.89118     1.86803  0.00765468
          12     1.89966     1.87066  0.00745694
          13     1.86552     1.87027  0.00689383
          14     1.83161     1.86751  0.00693234
          15     1.82437     1.86463  0.00704142
          16     1.91556     1.86781  0.00728528
          17     1.89991      1.8697  0.00709713
          18     1.84973     1.86859  0.00678898
          19     1.80274     1.86513  0.00726277
          20     1.77989     1.86086  0.00805349
          21     1.76555     1.85632  0.00885706
          22     1.81878     1.85462  0.00861728
          23     1.78272     1.85149  0.00879139
          24     1.78921      1.8489  0.00879979
          25     1.80733     1.84723  0.00860347
          26     1.79675     1.84529  0.00848887
          27     1.78838     1.84318  0.00843209
          28      1.8378     1.84299  0.00813313
          29     1.84778     1.84316  0.00785435
          30     1.79689     1.84162  0.00774251
          31     1.78061     1.83965  0.00773877
          32     1.84385     1.83978  0.00749805
          33      1.8752     1.84085  0.00734728
          34     1.84098     1.84086  0.00713118
          35     1.82778     1.84048  0.00693721
          36     1.84587     1.84063  0.00674613
          37     1.84081     1.84064   0.0065638
          38     1.83933      1.8406  0.00639116
          39     1.84061      1.8406  0.00622728
          40     1.86722     1.84127  0.00610705
          41     1.91557     1.84308   0.0062212
          42     1.92646     1.84507  0.00638197
          43     1.93823     1.84723  0.00659109
          44     1.87091     1.84777  0.00646322
          45     1.84338     1.84767  0.00632032
          46      1.8092     1.84684  0.00623801
          47     1.82958     1.84647  0.00611608
          48      1.8513     1.84657  0.00598948
          49     1.91776     1.84802  0.00604089
          50     1.93652     1.84979  0.00617392
          51     1.89899     1.85076  0.00612776
          52     1.88449     1.85141  0.00604415
          53     1.91432     1.85259  0.00604556
          54     1.93433     1.85411  0.00612016
          55     1.88524     1.85467    0.006035
          56     1.85272     1.85464  0.00592733
          57     1.84176     1.85441  0.00582765
          58     1.81542     1.85374  0.00576581
          59     1.81746     1.85313  0.00570079
          60     1.77612     1.85184  0.00574843
          61     1.76178     1.85037  0.00584072
          62     1.79411     1.84946  0.00581657
          63     1.80405     1.84874  0.00576873
          64      1.8181     1.84826  0.00569843
          65     1.81867      1.8478  0.00562891
          66     1.88331     1.84834  0.00556928
          67     1.87907      1.8488  0.00550501
          68       1.833     1.84857  0.00542896
          69     1.83515     1.84837  0.00535376
          70     1.83086     1.84812  0.00528312
          71     1.83835     1.84798   0.0052105
          72     1.81888     1.84758  0.00515379
          73     1.83818     1.84745   0.0050848
          74     1.81871     1.84706   0.0050309
          75     1.81256      1.8466   0.0049848
          76     1.84558     1.84659  0.00491923
          77     1.78262     1.84576  0.00492501
          78     1.80054     1.84518  0.00489587
          79     1.82118     1.84488  0.00484331
          80     1.85725     1.84503  0.00478524
          81     1.87015     1.84534   0.0047362
          82     1.83601     1.84523   0.0046798
          83     1.79167     1.84458  0.00466769
          84     1.81818     1.84427  0.00462269
          85     1.85194     1.84436  0.00456919
          86      1.8465     1.84438  0.00451613
          87     1.84687     1.84441  0.00446431
          88     1.88414     1.84486  0.00443634
          89     1.84657     1.84488  0.00438654
          90     1.82517     1.84466  0.00434326
          91      1.8373     1.84458  0.00429629
          92     1.78209      1.8439  0.00430295
          93     1.77809      1.8432  0.00431447
          94     1.86155     1.84339  0.00427299
          95     1.83463      1.8433  0.00422901
          96     1.86866     1.84356   0.0041932
          97     1.89176     1.84406  0.00417931
          98     1.87486     1.84437  0.00414846
          99     1.86309     1.84456  0.00411086
         100     1.83648     1.84448  0.00407055
