#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.976824    0.976824           0
           2     1.04851     1.01267   0.0253452
           3     1.12016      1.0485   0.0337851
           4     1.14995     1.07386   0.0335337
           5      1.1914     1.09737   0.0340853
           6     1.19579     1.11377   0.0321097
           7      1.1848     1.12392   0.0290815
           8     1.19819      1.1332   0.0268873
           9     1.20863     1.14158    0.025172
          10     1.19218     1.14664   0.0231576
          11     1.20018     1.15151   0.0215578
          12     1.17705     1.15364   0.0198661
          13     1.15825     1.15399   0.0183411
          14     1.14764     1.15354   0.0170366
          15     1.16497      1.1543   0.0159179
          16     1.17899     1.15584   0.0149976
          17     1.19777     1.15831   0.0143167
          18     1.18417     1.15975   0.0135932
          19     1.19864     1.16179    0.013031
          20     1.21142     1.16428   0.0126135
          21     1.19472     1.16573   0.0120959
          22     1.18227     1.16648   0.0115694
          23     1.17916     1.16703   0.0110795
          24     1.21357     1.16897   0.0107862
          25     1.21835     1.17094   0.0105341
          26     1.22105     1.17287   0.0103037
          27     1.21666     1.17449   0.0100489
          28     1.24843     1.17713    0.010031
          29     1.22826      1.1789  0.00983885
          30     1.22512     1.18044  0.00963077
          31     1.22807     1.18197  0.00944187
          32     1.23264     1.18356   0.0092786
          33     1.21413     1.18448  0.00904356
          34     1.23612       1.186   0.0089042
          35     1.21902     1.18695  0.00869964
          36     1.22342     1.18796  0.00851678
          37     1.22082     1.18885  0.00833278
          38     1.21721     1.18959  0.00814686
          39     1.22056     1.19039  0.00797656
          40     1.26787     1.19232   0.0080089
          41      1.2644     1.19408  0.00800416
          42     1.25121     1.19544  0.00792832
          43     1.20811     1.19574  0.00774941
          44     1.20211     1.19588  0.00757464
          45     1.19814     1.19593  0.00740648
          46      1.1683     1.19533  0.00726979
          47      1.1596     1.19457  0.00715475
          48     1.17819     1.19423  0.00701383
          49     1.21545     1.19466  0.00688405
          50     1.23661      1.1955   0.0067973
          51      1.2306     1.19619  0.00669876
          52     1.25392      1.1973  0.00666131
          53     1.22442     1.19781  0.00655525
          54      1.2106     1.19805  0.00643813
          55     1.21377     1.19833  0.00632742
          56     1.19122     1.19821  0.00621571
          57     1.18719     1.19801  0.00610966
          58       1.203      1.1981  0.00600493
          59     1.19698     1.19808  0.00590318
          60     1.19521     1.19803  0.00580499
          61     1.22635      1.1985  0.00572835
          62     1.23116     1.19902  0.00566013
          63     1.23946     1.19967  0.00560655
          64     1.20019     1.19967  0.00551896
          65     1.20867     1.19981  0.00543578
          66      1.1976     1.19978  0.00535353
          67     1.21689     1.20003  0.00527971
          68     1.22219     1.20036  0.00521211
          69     1.19215     1.20024  0.00513792
          70     1.18291     1.19999  0.00507049
          71     1.16141     1.19945  0.00502811
          72     1.19019     1.19932  0.00495992
          73     1.21025     1.19947  0.00489423
          74     1.21269     1.19965  0.00483135
          75     1.22741     1.20002  0.00478109
          76      1.2306     1.20042  0.00473509
          77     1.22461     1.20074  0.00468401
          78     1.23132     1.20113  0.00464034
          79      1.2112     1.20126  0.00458335
          80     1.23888     1.20173  0.00455012
          81     1.22362       1.202  0.00450197
          82     1.20465     1.20203  0.00444718
          83      1.2117     1.20215  0.00439512
          84     1.26219     1.20286  0.00440054
          85     1.24671     1.20338  0.00437891
          86     1.22923     1.20368   0.0043383
          87     1.26071     1.20433  0.00433767
          88     1.29265     1.20534  0.00440295
          89     1.28809     1.20627  0.00445058
          90      1.2665     1.20693  0.00445117
          91     1.24958      1.2074  0.00442685
          92     1.21095     1.20744   0.0043789
          93     1.21434     1.20752  0.00433244
          94     1.22711     1.20772  0.00429137
          95     1.18448     1.20748  0.00425316
          96     1.20003      1.2074  0.00420957
          97     1.23324     1.20767  0.00417459
          98     1.22655     1.20786  0.00413643
          99     1.24754     1.20826  0.00411402
         100     1.23321     1.20851  0.00408044
