#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.46524     1.46524           0
           2     1.57277       1.519   0.0380178
           3     1.68024     1.57275   0.0506776
           4     1.72493     1.61079   0.0503005
           5     1.78711     1.64606   0.0511279
           6     1.79369     1.67066   0.0481645
           7      1.7772     1.68588   0.0436223
           8     1.79728     1.69981    0.040331
           9     1.81294     1.71238    0.037758
          10     1.78826     1.71997   0.0347364
          11     1.80027     1.72727   0.0323366
          12     1.76558     1.73046   0.0297991
          13     1.73738     1.73099   0.0275116
          14     1.72146     1.73031   0.0255549
          15     1.74746     1.73145   0.0238768
          16     1.76848     1.73377   0.0224964
          17     1.79665     1.73747    0.021475
          18     1.77625     1.73962   0.0203898
          19     1.79797     1.74269   0.0195465
          20     1.81713     1.74641   0.0189202
          21     1.79208     1.74859   0.0181438
          22      1.7734     1.74972   0.0173541
          23     1.76874     1.75054   0.0166192
          24     1.82035     1.75345   0.0161793
          25     1.82753     1.75641   0.0158011
          26     1.83157     1.75931   0.0154556
          27     1.82499     1.76174   0.0150734
          28     1.87265      1.7657   0.0150465
          29     1.84239     1.76834   0.0147583
          30     1.83768     1.77065   0.0144462
          31      1.8421     1.77296   0.0141628
          32     1.84896     1.77533   0.0139179
          33     1.82119     1.77672   0.0135653
          34     1.85418       1.779   0.0133563
          35     1.82853     1.78042   0.0130495
          36     1.83513     1.78194   0.0127752
          37     1.83123     1.78327   0.0124992
          38     1.82581     1.78439   0.0122203
          39     1.83084     1.78558   0.0119648
          40      1.9018     1.78849   0.0120133
          41      1.8966     1.79112   0.0120062
          42     1.87682     1.79316   0.0118925
          43     1.81216      1.7936   0.0116241
          44     1.80316     1.79382    0.011362
          45     1.79721      1.7939   0.0111097
          46     1.75245       1.793   0.0109047
          47      1.7394     1.79186   0.0107321
          48     1.76728     1.79134   0.0105207
          49     1.82318     1.79199   0.0103261
          50     1.85492     1.79325   0.0101959
          51      1.8459     1.79428   0.0100481
          52     1.88088     1.79595  0.00999197
          53     1.83662     1.79672  0.00983287
          54     1.81591     1.79707   0.0096572
          55     1.82066      1.7975  0.00949113
          56     1.78683     1.79731  0.00932356
          57     1.78078     1.79702   0.0091645
          58      1.8045     1.79715  0.00900739
          59     1.79547     1.79712  0.00885477
          60     1.79281     1.79705  0.00870748
          61     1.83952     1.79775  0.00859253
          62     1.84673     1.79854  0.00849019
          63     1.85919      1.7995  0.00840983
          64     1.80029     1.79951  0.00827844
          65       1.813     1.79972  0.00815368
          66     1.79641     1.79967  0.00803029
          67     1.82533     1.80005  0.00791956
          68     1.83328     1.80054  0.00781816
          69     1.78823     1.80036  0.00770689
          70     1.77436     1.79999  0.00760574
          71     1.74212     1.79917  0.00754216
          72     1.78528     1.79898  0.00743988
          73     1.81538     1.79921  0.00734135
          74     1.81903     1.79947  0.00724703
          75     1.84112     1.80003  0.00717164
          76      1.8459     1.80063  0.00710263
          77     1.83692      1.8011  0.00702601
          78     1.84698     1.80169  0.00696051
          79      1.8168     1.80188  0.00687503
          80     1.85832     1.80259  0.00682518
          81     1.83543     1.80299  0.00675295
          82     1.80697     1.80304  0.00667077
          83     1.81754     1.80322  0.00659269
          84     1.89328     1.80429  0.00660082
          85     1.87007     1.80506  0.00656836
          86     1.84384     1.80551  0.00650744
          87     1.89106      1.8065  0.00650651
          88     1.93897       1.808  0.00660443
          89     1.93213      1.8094  0.00667587
          90     1.89975      1.8104  0.00667675
          91     1.87437     1.81111  0.00664027
          92     1.81643     1.81116  0.00656835
          93     1.82151     1.81127  0.00649866
          94     1.84067     1.81159  0.00643705
          95     1.77672     1.81122  0.00637974
          96     1.80004      1.8111  0.00631435
          97     1.84986      1.8115  0.00626188
          98     1.83982     1.81179  0.00620465
          99     1.87131     1.81239  0.00617103
         100     1.84982     1.81277  0.00612066
