#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.21351     1.21351           0
           2     1.25835     1.23593    0.015855
           3     1.26638     1.24608   0.0134314
           4     1.22853     1.24169   0.0107666
           5     1.26183     1.24572  0.00933596
           6     1.25693     1.24759  0.00796467
           7     1.24972     1.24789  0.00683269
           8     1.24477      1.2475  0.00598974
           9     1.22419     1.24491  0.00585748
          10     1.23387     1.24381  0.00537486
          11     1.26079     1.24535  0.00510312
          12     1.26644     1.24711  0.00497129
          13     1.24368     1.24684  0.00459589
          14     1.22107       1.245  0.00462156
          15     1.21625     1.24309  0.00469428
          16     1.27704     1.24521  0.00485685
          17      1.2666     1.24647  0.00473142
          18     1.23316     1.24573  0.00452599
          19     1.20182     1.24342  0.00484185
          20     1.18659     1.24058  0.00536899
          21     1.17703     1.23755  0.00590471
          22     1.21252     1.23641  0.00574485
          23     1.18848     1.23433  0.00586093
          24     1.19281      1.2326  0.00586653
          25     1.20488     1.23149  0.00573564
          26     1.19783      1.2302  0.00565924
          27     1.19225     1.22879  0.00562139
          28      1.2252     1.22866  0.00542209
          29     1.23186     1.22877  0.00523624
          30     1.19792     1.22774  0.00516167
          31     1.18708     1.22643  0.00515918
          32     1.22924     1.22652   0.0049987
          33     1.25014     1.22724  0.00489818
          34     1.22732     1.22724  0.00475412
          35     1.21852     1.22699  0.00462481
          36     1.23058     1.22709  0.00449742
          37      1.2272     1.22709  0.00437587
          38     1.22622     1.22707  0.00426077
          39     1.22707     1.22707  0.00415152
          40     1.24481     1.22751  0.00407137
          41     1.27705     1.22872  0.00414747
          42     1.28431     1.23004  0.00425465
          43     1.29216     1.23149  0.00439406
          44     1.24727     1.23185  0.00430881
          45     1.22892     1.23178  0.00421355
          46     1.20614     1.23122  0.00415867
          47     1.21972     1.23098  0.00407738
          48      1.2342     1.23105  0.00399299
          49     1.27851     1.23202  0.00402726
          50     1.29101      1.2332  0.00411594
          51     1.26599     1.23384  0.00408517
          52     1.25632     1.23427  0.00402943
          53     1.27622     1.23506  0.00403037
          54     1.28955     1.23607  0.00408011
          55     1.25682     1.23645  0.00402333
          56     1.23514     1.23643  0.00395156
          57     1.22784     1.23627   0.0038851
          58     1.21028     1.23583  0.00384388
          59     1.21164     1.23542  0.00380052
          60     1.18408     1.23456  0.00383228
          61     1.17452     1.23358  0.00389381
          62     1.19607     1.23297  0.00387771
          63      1.2027     1.23249  0.00384582
          64     1.21206     1.23217  0.00379895
          65     1.21245     1.23187  0.00375261
          66     1.25554     1.23223  0.00371285
          67     1.25271     1.23253     0.00367
          68       1.222     1.23238   0.0036193
          69     1.22343     1.23225  0.00356917
          70     1.22057     1.23208  0.00352208
          71     1.22557     1.23199  0.00347367
          72     1.21258     1.23172  0.00343586
          73     1.22546     1.23163  0.00338987
          74     1.21248     1.23138  0.00335393
          75     1.20838     1.23107   0.0033232
          76     1.23039     1.23106  0.00327949
          77     1.18841     1.23051  0.00328334
          78     1.20036     1.23012  0.00326391
          79     1.21412     1.22992  0.00322887
          80     1.23817     1.23002  0.00319016
          81     1.24676     1.23023  0.00315746
          82     1.22401     1.23015  0.00311987
          83     1.19445     1.22972  0.00311179
          84     1.21212     1.22951   0.0030818
          85     1.23463     1.22957  0.00304613
          86       1.231     1.22959  0.00301075
          87     1.23125     1.22961  0.00297621
          88     1.25609     1.22991  0.00295756
          89     1.23105     1.22992  0.00292436
          90     1.21678     1.22978  0.00289551
          91     1.22487     1.22972  0.00286419
          92     1.18806     1.22927  0.00286863
          93      1.1854      1.2288  0.00287631
          94     1.24103     1.22893  0.00284866
          95     1.22309     1.22887  0.00281934
          96     1.24577     1.22904  0.00279547
          97     1.26117     1.22937   0.0027862
          98     1.24991     1.22958  0.00276564
          99     1.24206     1.22971  0.00274058
         100     1.22432     1.22965   0.0027137
