#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.42218     1.42218           0
           2     1.42216     1.42217 7.05936e-06
           3     1.42223     1.42219 1.56561e-05
           4     1.42227     1.42221 1.99502e-05
           5     1.42234     1.42224 2.82484e-05
           6     1.42226     1.42224 2.37983e-05
           7     1.42237     1.42226 2.62804e-05
           8     1.42232     1.42227 2.41209e-05
           9     1.42242     1.42228 2.66314e-05
          10     1.42238     1.42229 2.57611e-05
          11     1.42225     1.42229 2.37536e-05
          12     1.42234     1.42229 2.21883e-05
          13      1.4223     1.42229 2.04824e-05
          14     1.42225     1.42229 1.92499e-05
          15     1.42234     1.42229 1.82305e-05
          16     1.42228     1.42229 1.71197e-05
          17     1.42226     1.42229 1.62236e-05
          18     1.42215     1.42228 1.69864e-05
          19     1.42216     1.42228 1.73249e-05
          20     1.42228     1.42228 1.64622e-05
          21     1.42227     1.42228 1.56816e-05
          22     1.42243     1.42228 1.64358e-05
          23     1.42245     1.42229 1.71756e-05
          24     1.42232     1.42229 1.65215e-05
          25     1.42235     1.42229 1.60048e-05
          26     1.42236      1.4223 1.55776e-05
          27     1.42221     1.42229 1.52939e-05
          28      1.4223     1.42229 1.47526e-05
          29     1.42243      1.4223  1.4992e-05
          30     1.42236      1.4223  1.4617e-05
          31     1.42229      1.4223 1.41481e-05
          32     1.42236      1.4223 1.38127e-05
          33     1.42244     1.42231 1.40552e-05
          34     1.42224      1.4223  1.3763e-05
          35     1.42226      1.4223 1.34229e-05
          36      1.4222      1.4223  1.3335e-05
          37     1.42232      1.4223 1.29836e-05
          38     1.42239      1.4223 1.28726e-05
          39     1.42239      1.4223 1.27344e-05
          40     1.42232     1.42231  1.2419e-05
          41     1.42228      1.4223 1.21318e-05
          42     1.42243     1.42231 1.22078e-05
          43     1.42231     1.42231 1.19239e-05
          44     1.42241     1.42231   1.186e-05
          45     1.42234     1.42231 1.16148e-05
          46     1.42239     1.42231 1.15013e-05
          47     1.42238     1.42231 1.13414e-05
          48     1.42236     1.42231 1.11547e-05
          49     1.42228     1.42231 1.09476e-05
          50      1.4223     1.42231 1.07301e-05
          51     1.42236     1.42231 1.05577e-05
          52     1.42238     1.42232 1.04246e-05
          53     1.42242     1.42232 1.04144e-05
          54     1.42233     1.42232 1.02245e-05
          55     1.42233     1.42232 1.00396e-05
          56     1.42242     1.42232 1.00206e-05
          57     1.42229     1.42232 9.85914e-06
          58     1.42226     1.42232 9.73862e-06
          59     1.42214     1.42232 1.00421e-05
          60     1.42211     1.42231 1.04686e-05
          61     1.42218     1.42231 1.05216e-05
          62     1.42239     1.42231 1.04335e-05
          63     1.42234     1.42231 1.02814e-05
          64     1.42239     1.42231 1.01869e-05
          65     1.42229     1.42231 1.00367e-05
          66     1.42233     1.42231 9.88918e-06
          67     1.42226     1.42231  9.7729e-06
          68     1.42229     1.42231 9.63279e-06
          69     1.42217     1.42231 9.70278e-06
          70     1.42207     1.42231  1.0138e-05
          71     1.42221     1.42231 1.00862e-05
          72     1.42191      1.4223 1.13465e-05
          73      1.4222      1.4223 1.12682e-05
          74     1.42222      1.4223 1.11693e-05
          75     1.42226      1.4223 1.10295e-05
          76     1.42221      1.4223 1.09376e-05
          77     1.42226      1.4223 1.08051e-05
          78     1.42224     1.42229 1.06867e-05
          79     1.42239      1.4223 1.06263e-05
          80     1.42229      1.4223 1.04936e-05
          81     1.42246      1.4223   1.055e-05
          82     1.42254      1.4223 1.08353e-05
          83     1.42237      1.4223 1.07413e-05
          84     1.42233      1.4223 1.06179e-05
          85     1.42246      1.4223 1.06571e-05
          86     1.42238      1.4223 1.05698e-05
          87     1.42248     1.42231 1.06335e-05
          88     1.42234     1.42231 1.05183e-05
          89      1.4224     1.42231 1.04575e-05
          90     1.42229     1.42231 1.03441e-05
          91     1.42239     1.42231 1.02711e-05
          92     1.42233     1.42231  1.0162e-05
          93     1.42232     1.42231 1.00536e-05
          94      1.4223     1.42231  9.9468e-06
          95     1.42231     1.42231 9.84216e-06
          96     1.42235     1.42231 9.74929e-06
          97     1.42226     1.42231 9.66064e-06
          98     1.42231     1.42231 9.56208e-06
          99     1.42238     1.42231 9.49352e-06
         100     1.42241     1.42231 9.45211e-06
